compound,predicted_pchembl,experimental_pchembl,max_tanimoto_to_train,inside_AD,predicted_class,smiles
CHEMBL248221,7.823,7.28,0.916,True,active,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCCN1CCOCC1
CHEMBL6160966,7.792,5.88,0.652,True,active,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3cccc(NC(=O)c4cccc(O)c4CN4Cc5ccccc5C4=O)c3)ccn2)c1
CHEMBL6159659,7.737,6.09,0.644,True,active,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3cccc(NC(=O)c4ccccc4CN4Cc5ccccc5C4=O)c3)ccn2)c1
CHEMBL4207425,7.706,6.79,1.0,True,active,C=CC(=O)N[C@@H]1CCN(c2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1
CHEMBL4211782,7.634,8.52,0.75,True,active,C=CC(=O)Nc1cccc(Oc2nc(Nc3cnn(CCN(C)C)c3)nc3[nH]ccc23)c1
CHEMBL4068763,7.467,8.41,0.714,True,active,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(Nc4cccc(F)c4)ccc23)c(OC)cc1N(C)CCN(C)C
CHEMBL4206604,7.174,6.79,0.83,True,active,CC(=O)N1CC[C@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1
CHEMBL3781993,7.131,8.4,0.36,False,active,CN1CCN(c2ccc(NC(=O)c3c(Nc4ccnc(N)n4)cc[nH]c3=O)cc2)CC1
CHEMBL4203072,7.084,6.74,1.0,True,active,C=CC(=O)N[C@@H]1CCN(c2nc(Nc3cnn(C)c3)c3ncn(C(C)C)c3n2)C1
CHEMBL4216749,7.026,8.7,0.475,True,active,C=CC(=O)Nc1cccc(Oc2nc(Nc3cnn(CCN(C)C)c3)nc3[nH]ccc23)c1F
CHEMBL3787327,7.021,6.23,0.66,True,active,C=CC(=O)N1CC[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]ccc23)C1
CHEMBL3781462,7.013,7.11,0.307,False,active,COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(N2CCN(C)CC2)nc1
CHEMBL5279275,6.989,8.92,0.636,True,active,CC(C)n1cc(C(=O)NC2CCOCC2)c2cnc(Nc3ccnc(-c4cnn(S(=O)(=O)C5CC5)c4)n3)cc21
CHEMBL4204498,6.972,7.25,0.625,True,active,C=CC(=O)N1C[C@H](Nc2nc(Nc3cnn(C)c3)c3ncn(C(C)C)c3n2)[C@@H](F)C1
CHEMBL6102389,6.968,8.85,0.424,True,active,CCc1cn2nc(Nc3ccnc(N4CC[C@@H](OC)[C@@H](F)C4)n3)cc2n1C1CCC2(CC1)OCCO2
CHEMBL6145212,6.966,9.17,0.378,False,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(C5CCC6(CC5)OCCO6)c(C(=O)NCC5CCN(C)CC5)cn4n3)n2)C[C@@H]1F
CHEMBL6108977,6.964,7.68,0.433,True,active,Cc1cn2nc(Nc3ccnc(N4CC[C@@H](O)[C@@H](F)C4)n3)cc2n1C1CCC2(CC1)OCCO2
CHEMBL6133223,6.93,9.01,0.409,True,active,CCNC(=O)c1cn2nc(Nc3ccnc(N4CC[C@@H](OC)[C@@H](F)C4)n3)cc2n1C1CCC2(CC1)OCCO2
CHEMBL6146381,6.916,9.02,0.383,False,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(C5CCC6(CC5)OCCO6)c(C(=O)NCC5CN(C)C5)cn4n3)n2)C[C@@H]1F
CHEMBL3781988,6.908,6.97,0.327,False,active,CN1CCN(c2ccc(NC(=O)c3c(Nc4ccccn4)cc[nH]c3=O)cc2)CC1
CHEMBL6103287,6.9,8.27,0.421,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(C5CCC6(CC5)OCCO6)c(C5CC5)cn4n3)n2)C[C@@H]1F
CHEMBL4209368,6.891,6.98,0.677,True,active,C=CC(=O)N1CC[C@@H](Nc2nc(Nc3cnn(C)c3)c3ncn(C(C)C)c3n2)C1
CHEMBL4211367,6.883,8.52,0.592,True,active,C=CC(=O)N1C[C@H](Nc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](F)C1
CHEMBL3781344,6.863,7.02,0.321,False,active,CN1CCN(c2ccc(NC(=O)c3c(Nc4ccncn4)cc[nH]c3=O)cc2)CC1
CHEMBL6142591,6.862,8.24,0.442,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(C5CCC6(CC5)OCCO6)c(C)cn4n3)n2)C[C@@H]1F
CHEMBL6147282,6.847,8.11,0.421,True,active,O[C@@H]1CCN(c2nccc(Nc3cc4n(C5CCC6(CC5)OCCO6)c(C(F)(F)F)cn4n3)n2)C[C@@H]1F
CHEMBL248425,6.799,7.28,0.734,True,active,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3cccc(Br)c3)c2cc1OC
CHEMBL5274166,6.795,8.96,0.644,True,active,CC(C)n1cc(C(N)=O)c2cnc(Nc3ccnc(-c4cnn(S(=O)(=O)C5CC5)c4)n3)cc21
CHEMBL6092020,6.76,8.55,0.4,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(C5CCC6(CC5)OCCO6)c([C@H]5CCCO5)cn4n3)n2)C[C@@H]1F
CHEMBL1682557,6.758,7.17,0.3,False,active,CN(C)CCn1cnc(-c2ccc(F)cc2)c1-c1ccc2[nH]ncc2c1
CHEMBL3758862,6.752,7.8,0.567,True,active,CC1(C)OCc2c(Nc3n[nH]c4c(Cl)cc(F)cc34)nc(-c3cn[nH]c3)nc21
LORLATINIB,6.749,7.25,0.518,True,active,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21
CHEMBL5282384,6.745,8.96,0.588,True,active,CC(C)n1cc(C(=O)NC2COC2)c2cnc(Nc3ccnc(-c4cnn(S(=O)(=O)C5CC5)c4)n3)cc21
CHEMBL6078330,6.744,7.96,0.416,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(C5CCC6(CC5)OCCO6)c(C#N)cn4n3)n2)C[C@@H]1F
CHEMBL6083000,6.731,8.0,0.452,True,active,Cc1cn2nc(Nc3ccnc(N4CC[C@@H](O)[C@@H](F)C4)n3)cc2n1C1C2CCCC1C2
CHEMBL3760072,6.73,7.98,0.579,True,active,CC1(C)OCc2c(Nc3n[nH]c4c(F)cc(F)cc34)nc(-c3cn[nH]c3)nc21
CHEMBL6141640,6.728,8.68,0.414,True,active,CCc1cn2nc(Nc3ccnc(N4CC[C@@H](OC)[C@@H](F)C4)n3)cc2n1[C@H]1CC[C@]2(CCN(C)C2=O)CC1
CHEMBL246419,6.716,7.44,0.688,True,active,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3F)c2cc1OC
CHEMBL6091957,6.704,7.36,0.425,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(C(C)C)c(C)cn4n3)n2)CC1(C)C
CHEMBL6102371,6.695,7.82,0.414,True,active,COC1CCN(c2nccc(Nc3cc4n(C5CCC6(CC5)OCCO6)c(C)cn4n3)n2)CC1
CHEMBL6149770,6.67,8.2,0.434,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(cc(C)n4[C@H]4CC[C@@]5(CCNC5=O)CC4)n3)n2)C[C@@H]1F
CHEMBL3354184,6.655,6.14,0.455,True,active,O=C(Nc1ccnc(Nc2ccnc(N3CCC(O)CC3)n2)c1)c1c(Cl)cccc1Cl
CHEMBL6144787,6.649,7.9,0.433,True,active,CN1CCC2(CCC(n3c(C(F)(F)F)cn4nc(Nc5ccnc(N6CC[C@@H](O)[C@@H](F)C6)n5)cc34)CC2)C1=O
CHEMBL6142905,6.647,7.5,0.429,True,active,COC1CCN(c2nccc(Nc3cc4n([C@@H]5CC[C@H](C)C5)c(C)cn4n3)n2)CC1
CHEMBL6134747,6.647,8.0,0.429,True,active,COC1CCN(c2nccc(Nc3cc4n([C@H]5CC[C@H](C)C5)c(C)cn4n3)n2)CC1
CHEMBL1682560,6.644,8.1,0.292,False,active,Fc1ccc(-c2ncn(C3CCN(Cc4ccccc4)C3)c2-c2ccc3[nH]ncc3c2)cc1
CHEMBL6148402,6.644,7.57,0.425,True,active,COC1CCN(c2nccc(Nc3cc4n(C5CCC(=O)CC5)c(C)cn4n3)n2)CC1
CHEMBL6148149,6.642,7.56,0.453,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(C5CC6(C5)OCCO6)c(C)cn4n3)n2)C[C@@H]1F
CHEMBL4206481,6.632,8.4,0.573,True,active,C=CC(=O)N1CC[C@@H](Nc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1
CHEMBL6141567,6.63,8.25,0.434,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(cc(C)n4[C@H]4CC[C@@]5(CCN(C)C5=O)CC4)n3)n2)C[C@@H]1F
CHEMBL245996,6.61,7.1,0.765,True,active,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccc(Oc4ccccc4)cc3)c2cc1OC
CHEMBL3352835,6.609,6.13,0.475,True,active,COC1CCN(c2nccc(Nc3cc(NC(=O)c4c(Cl)cccc4Cl)ccn3)n2)CC1
CHEMBL3354193,6.58,5.72,0.613,True,active,COC1CCN(c2nccc(Nc3cc4c(cn3)[nH]c(=O)n4C(C)C)n2)CC1
R-343,6.575,7.46,0.442,True,active,CNC(=O)COc1cccc(Nc2ncc(F)c(Nc3ccc4c(c3)NC(=O)C(F)(F)O4)n2)c1
CHEMBL6149778,6.559,7.61,0.453,True,active,CCc1coc(-n2c(C)cn3nc(Nc4ccnc(N5CC[C@@H](OC)[C@@H](F)C5)n4)cc23)n1
CHEMBL6102656,6.539,7.5,0.442,True,active,COC1CCN(c2nccc(Nc3cc4n(cc(C)n4[C@H]4CC[C@H](O)CC4)n3)n2)CC1
CHEMBL400742,6.505,6.66,0.763,True,active,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccc(Br)cc3)c2cc1OC
CHEMBL6147901,6.502,6.02,0.464,True,active,COC1CCN(c2nccc(Nc3cc4n(C5CC5)c(C)cn4n3)n2)CC1
CHEMBL247196,6.502,7.36,0.763,True,active,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccc(Cl)cc3)c2cc1OC
CHEMBL6142840,6.498,6.81,0.46,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(-c5ccn(C)n5)c(C)cn4n3)n2)C[C@@H]1F
CHEMBL3354191,6.488,6.5,0.579,True,active,COC1CCN(c2nccc(Nc3cc4c(cn3)c(N)nn4C(C)C)n2)CC1
CHEMBL6120341,6.479,7.65,0.469,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(-c5ncc(C)s5)c(C)cn4n3)n2)C[C@@H]1F
CHEMBL3758981,6.477,6.29,0.526,True,active,CN(c1nc(-c2cn[nH]c2)nc2c1COC2(C)C)c1n[nH]c2ccccc12
CHEMBL6103122,6.469,7.66,0.477,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(-c5ncc(Cl)cn5)c(C)cn4n3)n2)C[C@@H]1F
CHEMBL3758773,6.455,7.65,0.685,True,active,CC1(C)OCc2c(Nc3n[nH]c4cc(Cl)ccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3735725,6.452,7.12,0.561,True,active,COC1CCN(c2nccc(Nc3cc4c(cn3)ncn4C3CCOCC3)n2)CC1
CHEMBL3354192,6.448,6.21,0.538,True,active,COC1CCN(c2nccc(Nc3cc4c(C(C)C)n[nH]c4cn3)n2)CC1
CHEMBL3780563,6.445,7.29,0.297,False,active,COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(CN2CCN(C)CC2)cc1
CHEMBL6134123,6.437,7.71,0.426,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(-c5ccc6c(c5)OCCO6)c(C)cn4n3)n2)C[C@@H]1F
CHEMBL3735410,6.418,6.82,0.475,True,active,CC(C)n1cnc2cnc(Nc3ccnc(N4CCC(C(N)=O)CC4)n3)cc21
CHEMBL3780320,6.405,7.58,0.317,False,active,COc1ccccc1Nc1cc[nH]c(=O)c1C(=O)Nc1ccc(N2CCN(C)CC2)c(C)c1
CHEMBL5268573,6.403,7.54,0.55,True,active,COC1CCN(c2nccc(Nc3cc4c(cn3)c(C(N)=O)nn4C(C)C)n2)CC1
CHEMBL6109194,6.399,7.43,0.586,True,active,CO[C@@H]1CCN(c2nccc(Nc3cc4n(C(C)C)c(C)cn4n3)n2)C[C@@H]1F
CHEMBL4099089,6.383,6.28,0.359,False,active,C[C@H](Nc1nc(N)nc2[nH]c3ccc(O)cc3c12)c1ccccc1
CHEMBL4088941,6.383,6.04,0.359,False,active,C[C@@H](Nc1nc(N)nc2[nH]c3ccc(O)cc3c12)c1ccccc1
CHEMBL6078531,6.379,7.04,0.48,True,active,COC1CCN(c2nccc(Nc3cc4c(C(C)C)c(C)[nH]c4nn3)n2)CC1
CHEMBL3759499,6.377,8.7,0.685,True,active,CC1(C)OCc2c(Nc3n[nH]c4cc(F)ccc34)nc(-c3cn[nH]c3)nc21
